Country,Year,population
Ghana,1880,1677747
Gibraltar,1880,13834
Greece,1880,4024333
Greenland,1880,14335
Grenada,1880,42734
Guadeloupe,1880,125442
Guam,1880,16326
Guatemala,1880,1181901
Guernsey,1880,NA
Guinea,1880,1669530
Guinea-Bissau,1880,329708
Guyana,1880,249866
Haiti,1880,1280914
Holy See,1880,908
Honduras,1880,436660
"Hong Kong, China",1880,164427
Hungary,1880,6256649
Iceland,1880,90546
India,1880,223020377
Indonesia,1880,30212871
Iran,1880,8879809
Iraq,1880,1775449
Ireland,1880,3641634
Isle of Man,1880,34946
Israel,1880,281441
Italy,1880,29621532
Jamaica,1880,564583
Japan,1880,36826469
Jersey,1880,NA
Jordan,1880,278561
Kazakhstan,1880,3531920
Kenya,1880,2607157
Kiribati,1880,23771
North Korea,1880,4798574
South Korea,1880,9806394
United Korea (former),1880,NA
Kosovo,1880,NA
Kuwait,1880,85115
Kyrgyz Republic,1880,918049
Lao,1880,869267
Latvia,1880,1026699
Lebanon,1880,494961
Lesotho,1880,433624
Liberia,1880,517639
Libya,1880,752589
Liechtenstein,1880,8638
Lithuania,1880,1353535
Luxembourg,1880,187865
"Macao, China",1880,73107
"Macedonia, FYR",1880,668778
Madagascar,1880,2529772
Malawi,1880,751025
Malaysia,1880,1139039
Maldives,1880,58228
Mali,1880,2454682
Malta,1880,198192
Marshall Islands,1880,8430
Martinique,1880,131598
Mauritania,1880,491013
Mauritius,1880,353740
Mayotte,1880,10843
Mexico,1880,10470582
"Micronesia, Fed. Sts.",1880,22218
Moldova,1880,1233524
Monaco,1880,12069
Mongolia,1880,679296
Montenegro,1880,214216
Montserrat,1880,9884
Morocco,1880,4055109
Mozambique,1880,3487663
Myanmar,1880,5734636
Namibia,1880,230797
Nauru,1880,2274
Nepal,1880,5003138
Netherlands,1880,4024595
Netherlands Antilles,1880,NA
New Caledonia,1880,42483
New Zealand,1880,505065
Ngorno-Karabakh,1880,NA
Nicaragua,1880,449633
Niger,1880,1729822
Nigeria,1880,15683139
Niue,1880,4548
Norfolk Island,1880,NA
Northern Cyprus,1880,NA
Northern Mariana Islands,1880,4711
Norway,1880,1883716
Oman,1880,382837
Pakistan,1880,16977586
Palau,1880,5236
Panama,1880,201637
Papua New Guinea,1880,1099972
Paraguay,1880,404774
Peru,1880,2971643
Philippines,1880,5011484
Pitcairn,1880,NA
Poland,1880,19669587
Portugal,1880,4638209
Puerto Rico,1880,748198
Qatar,1880,14709
Reunion,1880,145352
Romania,1880,9735775
Russia,1880,53996807
Rwanda,1880,1374345
St. Barthélemy,1880,NA
St. Helena,1880,5164
St. Kitts and Nevis,1880,27141
St. Lucia,1880,37722
St. Martin,1880,NA
St. Vincent and the Grenadines,1880,39665
St.-Pierre-et-Miquelon,1880,2755
Samoa,1880,38071
San Marino,1880,8109
Sao Tome and Principe,1880,35718
Saudi Arabia,1880,2405921
Senegal,1880,1525351
Serbia,1880,3637989
Serbia and Montenegro,1880,NA
Serbia excluding Kosovo,1880,NA
Seychelles,1880,15406
Sierra Leone,1880,1199729
Singapore,1880,116144
Slovak Republic,1880,2658530
Slovenia,1880,796806
Solomon Islands,1880,69346
Somalia,1880,1455432
Somaliland,1880,NA
South Africa,1880,3142066
South Ossetia,1880,NA
Spain,1880,16921004
Sri Lanka,1880,3044220
Sudan,1880,4826197
Suriname,1880,126424
Svalbard,1880,NA
Swaziland,1880,86887
Sweden,1880,4503095
Switzerland,1880,2822978
Syria,1880,1667572
Taiwan,1880,NA
Tajikistan,1880,805919
Tanzania,1880,3715610
Thailand,1880,6273430
Timor-Leste,1880,265856
Togo,1880,754234
Tokelau,1880,541
Tonga,1880,19343
Transnistria,1880,NA
Trinidad and Tobago,1880,163020
Tunisia,1880,1324052
Turkey,1880,12474351
Turkmenistan,1880,637089
Turks and Caicos Islands,1880,4690
Tuvalu,1880,3493
Uganda,1880,2561608
Ukraine,1880,19532717
United Arab Emirates,1880,42682
United Kingdom,1880,30849957
United States,1880,51256498
Uruguay,1880,480723
USSR,1880,NA
Uzbekistan,1880,3470567
Wallis et Futuna,1880,4978
Vanuatu,1880,35552
Venezuela,1880,2015985
West Bank and Gaza,1880,224771
West Germany,1880,NA
Western Sahara,1880,5708
Vietnam,1880,11472739
Virgin Islands (U.S.),1880,34553
North Yemen (former),1880,NA
South Yemen (former),1880,NA
Yemen,1880,2960773
Yugoslavia,1880,NA
Zambia,1880,744157
Zimbabwe,1880,1661683
Åland,1880,NA
South Sudan,1880,1604755
Curaçao,1880,NA
Sint Maarten (Dutch part),1880,NA
St. Martin (French part),1880,NA
Antarctica,1880,NA
Bouvet Island,1880,NA
British Indian Ocean Territory,1880,NA
Clipperton,1880,NA
French Southern and Antarctic Lands,1880,NA
Gaza Strip,1880,NA
Heard and McDonald Islands,1880,NA
Northern Marianas,1880,NA
South Georgia and the South Sandwich Islands,1880,NA
US Minor Outlying Islands,1880,NA
Virgin Islands,1880,NA
West Bank,1880,NA
Abkhazia,1890,NA
Afghanistan,1890,4710171
Akrotiri and Dhekelia,1890,NA
Albania,1890,741688
Algeria,1890,4525691
American Samoa,1890,6139
Andorra,1890,4131
Angola,1890,2677047
Anguilla,1890,3320
Antigua and Barbuda,1890,36286
Argentina,1890,3402273
Armenia,1890,781218
Aruba,1890,27817
Australia,1890,3088808
Austria,1890,5408503
Azerbaijan,1890,1667011
Bahamas,1890,47817
Bahrain,1890,72045
Bangladesh,1890,27615079
Barbados,1890,181966
Belarus,1890,4484175
Belgium,1890,6125406
Belize,1890,30754
Benin,1890,1260608
Bermuda,1890,15068
Bhutan,1890,129082
Bolivia,1890,1718906
Bosnia and Herzegovina,1890,1569427
Botswana,1890,122200
Brazil,1890,14410738
British Virgin Islands,1890,4779
Brunei,1890,11271
Bulgaria,1890,3453830
Burkina Faso,1890,2769399
Burundi,1890,1485986
Cambodia,1890,2678588
Cameroon,1890,2291482
Canada,1890,4908078
Cape Verde,1890,103928
Cayman Islands,1890,4303
Central African Republic,1890,672749
Chad,1890,1463486
Channel Islands,1890,69222
Chile,1890,2623814
China,1890,377135349
Christmas Island,1890,NA
Cocos Island,1890,NA
Colombia,1890,3432631
Comoros,1890,97281
"Congo, Dem. Rep.",1890,8176082
"Congo, Rep.",1890,521378
Cook Is,1890,10090
Costa Rica,1890,227054
Cote d'Ivoire,1890,1742785
Croatia,1890,2273902
Cuba,1890,1658274
Cyprus,1890,207321
Czech Republic,1890,7132039
Czechoslovakia,1890,NA
Denmark,1890,2291557
Djibouti,1890,38998
Dominica,1890,27386
Dominican Republic,1890,407957
East Germany,1890,NA
Ecuador,1890,1291183
Egypt,1890,8912535
El Salvador,1890,662195
Equatorial Guinea,1890,101679
Eritrea,1890,516854
Eritrea and Ethiopia,1890,NA
Estonia,1890,634935
Ethiopia,1890,7832385
Faeroe Islands,1890,21393
Falkland Is (Malvinas),1890,352
Fiji,1890,122056
Finland,1890,2358344
France,1890,40015501
French Guiana,1890,16402
French Polynesia,1890,34531
Gabon,1890,286111
Gambia,1890,173847
Georgia,1890,2033664
Germany,1890,48211294
Ghana,1890,1781078
Gibraltar,1890,14629
Greece,1890,4441125
Greenland,1890,15319
Grenada,1890,51785
Guadeloupe,1890,134914
Guam,1890,12695
Guatemala,1890,1284688
Guernsey,1890,NA
Guinea,1890,1821769
Guinea-Bissau,1890,353821
Guyana,1890,267135
Haiti,1890,1419252
Holy See,1890,909
Honduras,1890,469600
"Hong Kong, China",1890,218690
Hungary,1890,6631452
Iceland,1890,96517
India,1890,232819584
Indonesia,1890,33747355
Iran,1890,9418782
Iraq,1890,1992559
Ireland,1890,3349404
Isle of Man,1890,37318
Israel,1890,316448
Italy,1890,31665125
Jamaica,1890,637199
Japan,1890,39878734
Jersey,1890,NA
Jordan,1890,294766
Kazakhstan,1890,3865983
Kenya,1890,2618210
Kiribati,1890,25323
North Korea,1890,4959044
South Korea,1890,9856047
United Korea (former),1890,NA
Kosovo,1890,NA
Kuwait,1890,89663
Kyrgyz Republic,1890,1005105
Lao,1890,998964
Latvia,1890,1125139
Lebanon,1890,525702
Lesotho,1890,467118
Liberia,1890,563168
Libya,1890,800283
Liechtenstein,1890,9225
Lithuania,1890,1483375
Luxembourg,1890,200461
"Macao, China",1890,67860
"Macedonia, FYR",1890,731284
Madagascar,1890,2705491
Malawi,1890,755700
Malaysia,1890,1589037
Maldives,1890,61033
Mali,1890,2695216
Malta,1890,211471
Marshall Islands,1890,8960
Martinique,1890,141727
Mauritania,1890,511712
Mauritius,1890,368896
Mayotte,1890,11343
Mexico,1890,11868744
"Micronesia, Fed. Sts.",1890,23340
Moldova,1890,1350371
Monaco,1890,12982
Mongolia,1890,691803
Montenegro,1890,233519
Montserrat,1890,11478
Morocco,1890,4349836
Mozambique,1890,3787673
Myanmar,1890,7618454
Namibia,1890,231395
Nauru,1890,2355
Nepal,1890,5256924
Netherlands,1890,4529873
Netherlands Antilles,1890,NA
New Caledonia,1890,45164
New Zealand,1890,669985
Ngorno-Karabakh,1890,NA
Nicaragua,1890,505573
Niger,1890,1831048
Nigeria,1890,16380516
Niue,1890,4563
Norfolk Island,1890,NA
Northern Cyprus,1890,NA
Northern Mariana Islands,1890,4982
Norway,1890,2003954
Oman,1890,399816
Pakistan,1890,17873100
Palau,1890,5504
Panama,1890,230232
Papua New Guinea,1890,1170606
Paraguay,1890,424496
Peru,1890,3337979
Philippines,1890,5668348
Pitcairn,1890,NA
Poland,1890,22618933
Portugal,1890,5029810
Puerto Rico,1890,839355
Qatar,1890,15478
Reunion,1890,156428
Romania,1890,10334053
Russia,1890,59151534
Rwanda,1890,1471766
St. Barthélemy,1890,NA
St. Helena,1890,4048
St. Kitts and Nevis,1890,29274
St. Lucia,1890,42333
St. Martin,1890,NA
St. Vincent and the Grenadines,1890,41629
St.-Pierre-et-Miquelon,1890,2961
Samoa,1890,35495
San Marino,1890,8649
Sao Tome and Principe,1890,38513
Saudi Arabia,1890,2480109
Senegal,1890,1635693
Serbia,1890,3968679
Serbia and Montenegro,1890,NA
Serbia excluding Kosovo,1890,NA
Seychelles,1890,16151
Sierra Leone,1890,1286792
Singapore,1890,157724
Slovak Republic,1890,2755048
Slovenia,1890,869595
Solomon Islands,1890,70661
Somalia,1890,1548224
Somaliland,1890,NA
South Africa,1890,3845849
South Ossetia,1890,NA
Spain,1890,17783792
Sri Lanka,1890,3387731
Sudan,1890,4860252
Suriname,1890,136074
Svalbard,1890,NA
Swaziland,1890,87183
Sweden,1890,4780109
Switzerland,1890,2972442
Syria,1890,1758556
Taiwan,1890,NA
Tajikistan,1890,881646
Tanzania,1890,3842790
Thailand,1890,6782133
Timor-Leste,1890,296381
Togo,1890,822418
Tokelau,1890,438
Tonga,1890,19633
Transnistria,1890,NA
Trinidad and Tobago,1890,210414
Tunisia,1890,1478214
Turkey,1890,13188522
Turkmenistan,1890,697742
Turks and Caicos Islands,1890,4738
Tuvalu,1890,3692
Uganda,1890,2646689
Ukraine,1890,21405530
United Arab Emirates,1890,45189
United Kingdom,1890,34215580
United States,1890,63810074
Uruguay,1890,682156
USSR,1890,NA
Uzbekistan,1890,3853133
Wallis et Futuna,1890,5223
Vanuatu,1890,37016
Venezuela,1890,2339881
West Bank and Gaza,1890,253607
West Germany,1890,NA
Western Sahara,1890,6398
Vietnam,1890,12934886
Virgin Islands (U.S.),1890,32805
North Yemen (former),1890,NA
South Yemen (former),1890,NA
Yemen,1890,3070113
Yugoslavia,1890,NA
Zambia,1890,743210
Zimbabwe,1890,1781947
Åland,1890,NA
South Sudan,1890,1756589
Curaçao,1890,NA
Sint Maarten (Dutch part),1890,NA
St. Martin (French part),1890,NA
Antarctica,1890,NA
Bouvet Island,1890,NA
British Indian Ocean Territory,1890,NA
Clipperton,1890,NA
French Southern and Antarctic Lands,1890,NA
Gaza Strip,1890,NA
Heard and McDonald Islands,1890,NA
Northern Marianas,1890,NA
South Georgia and the South Sandwich Islands,1890,NA
US Minor Outlying Islands,1890,NA
Virgin Islands,1890,NA
West Bank,1890,NA
Abkhazia,1900,NA
Afghanistan,1900,5021241
Akrotiri and Dhekelia,1900,NA
Albania,1900,819950
Algeria,1900,4946166
American Samoa,1900,5949
Andorra,1900,4393
Angola,1900,2898155
Anguilla,1900,3561
Antigua and Barbuda,1900,34925
Argentina,1900,4756635
Armenia,1900,855313
Aruba,1900,29311
Australia,1900,3743708
Austria,1900,5979725
Azerbaijan,1900,1825639
Bahamas,1900,53102
Bahrain,1900,76158
Bangladesh,1900,29230699
Barbados,1900,191121
Belarus,1900,4917314
Belgium,1900,6761724
Belize,1900,36114
Benin,1900,1390018
Bermuda,1900,17497
Bhutan,1900,136235
Bolivia,1900,1826432
Bosnia and Herzegovina,1900,1712007
Botswana,1900,122551
Brazil,1900,18103489
British Virgin Islands,1900,4934
Brunei,1900,15507
Bulgaria,1900,3992259
Burkina Faso,1900,2977810
Burundi,1900,1589452
Cambodia,1900,2859326
Cameroon,1900,2360984
Canada,1900,5530806
Cape Verde,1900,113570
Cayman Islands,1900,4867
Central African Republic,1900,706436
Chad,1900,1471357
Channel Islands,1900,73870
Chile,1900,2981489
China,1900,395184556
Christmas Island,1900,NA
Cocos Island,1900,NA
Colombia,1900,4109030
Comoros,1900,105128
"Congo, Dem. Rep.",1900,8727834
"Congo, Rep.",1900,560251
Cook Is,1900,8841
Costa Rica,1900,297910
Cote d'Ivoire,1900,1863006
Croatia,1900,2483124
Cuba,1900,1762227
Cyprus,1900,235257
Czech Republic,1900,7399101
Czechoslovakia,1900,NA
Denmark,1900,2557581
Djibouti,1900,42078
Dominica,1900,29067
Dominican Republic,1900,529755
East Germany,1900,NA
Ecuador,1900,1455093
Egypt,1900,10065298
El Salvador,1900,774733
Equatorial Guinea,1900,105183
Eritrea,1900,589732
Eritrea and Ethiopia,1900,NA
Estonia,1900,695838
Ethiopia,1900,8993179
Faeroe Islands,1900,22843
Falkland Is (Malvinas),1900,482
Fiji,1900,121907
Finland,1900,2633389
France,1900,40628638
French Guiana,1900,17620
French Polynesia,1900,30686
Gabon,1900,311589
Gambia,1900,187273
Georgia,1900,2227930
Germany,1900,55293434
Ghana,1900,1891249
Gibraltar,1900,15474
Greece,1900,4882706
Greenland,1900,16375
Grenada,1900,61605
Guadeloupe,1900,145156
Guam,1900,10583
Guatemala,1900,1401387
Guernsey,1900,NA
Guinea,1900,1988972
Guinea-Bissau,1900,379807
Guyana,1900,285691
Haiti,1900,1584083
Holy See,1900,910
Honduras,1900,515578
"Hong Kong, China",1900,310113
Hungary,1900,7115393
Iceland,1900,102913
India,1900,243073946
Indonesia,1900,38159334
Iran,1900,9993084
Iraq,1900,2238359
Ireland,1900,3163836
Isle of Man,1900,39863
Israel,1900,359084
Italy,1900,33736335
Jamaica,1900,719180
Japan,1900,44040263
Jersey,1900,NA
Jordan,1900,311990
Kazakhstan,1900,4234119
Kenya,1900,2629262
Kiribati,1900,26948
North Korea,1900,5124044
South Korea,1900,9926633
United Korea (former),1900,NA
Kosovo,1900,NA
Kuwait,1900,94474
Kyrgyz Republic,1900,1101060
Lao,1900,1149619
Latvia,1900,1233746
Lebanon,1900,558481
Lesotho,1900,503398
Liberia,1900,612987
Libya,1900,851032
Liechtenstein,1900,9855
Lithuania,1900,1626629
Luxembourg,1900,213965
"Macao, China",1900,65138
"Macedonia, FYR",1900,800063
Madagascar,1900,2894356
Malawi,1900,780171
Malaysia,1900,2204405
Maldives,1900,63982
Mali,1900,2961059
Malta,1900,225706
Marshall Islands,1900,9525
Martinique,1900,152696
Mauritania,1900,533349
Mauritius,1900,370835
Mayotte,1900,11868
Mexico,1900,13662640
"Micronesia, Fed. Sts.",1900,24523
Moldova,1900,1479152
Monaco,1900,13968
Mongolia,1900,704557
Montenegro,1900,254700
Montserrat,1900,11844
Morocco,1900,4667602
Mozambique,1900,4115592
Myanmar,1900,10178295
Namibia,1900,231994
Nauru,1900,2439
Nepal,1900,5419483
Netherlands,1900,5153030
Netherlands Antilles,1900,NA
New Caledonia,1900,48027
New Zealand,1900,815519
Ngorno-Karabakh,1900,NA
Nicaragua,1900,571352
Niger,1900,1938530
Nigeria,1900,17111076
Niue,1900,4579
Norfolk Island,1900,NA
Northern Cyprus,1900,NA
Northern Mariana Islands,1900,5269
Norway,1900,2214923
Oman,1900,417606
Pakistan,1900,18819218
Palau,1900,5787
Panama,1900,266472
Papua New Guinea,1900,1246120
Paraguay,1900,457181
Peru,1900,3680342
Philippines,1900,6480589
Pitcairn,1900,NA
Poland,1900,24700965
Portugal,1900,5426480
Puerto Rico,1900,968439
Qatar,1900,16290
Reunion,1900,168416
Romania,1900,10978549
Russia,1900,64836675
Rwanda,1900,1576436
St. Barthélemy,1900,NA
St. Helena,1900,3420
St. Kitts and Nevis,1900,31586
St. Lucia,1900,48642
St. Martin,1900,NA
St. Vincent and the Grenadines,1900,46071
St.-Pierre-et-Miquelon,1900,3184
Samoa,1900,34310
San Marino,1900,9228
Sao Tome and Principe,1900,41544
Saudi Arabia,1900,2556758
Senegal,1900,1754554
Serbia,1900,4331770
Serbia and Montenegro,1900,NA
Serbia excluding Kosovo,1900,NA
Seychelles,1900,18738
Sierra Leone,1900,1380588
Singapore,1900,215875
Slovak Republic,1900,2855334
Slovenia,1900,949547
Solomon Islands,1900,71961
Somalia,1900,1647387
Somaliland,1900,NA
South Africa,1900,4721134
South Ossetia,1900,NA
Spain,1900,18652446
Sri Lanka,1900,3980125
Sudan,1900,4888158
Suriname,1900,146519
Svalbard,1900,NA
Swaziland,1900,87753
Sweden,1900,5111095
Switzerland,1900,3297232
Syria,1900,1854880
Taiwan,1900,NA
Tajikistan,1900,965052
Tanzania,1900,3974660
Thailand,1900,7482398
Timor-Leste,1900,330692
Togo,1900,897249
Tokelau,1900,382
Tonga,1900,20512
Transnistria,1900,NA
Trinidad and Tobago,1900,270873
Tunisia,1900,1651653
Turkey,1900,13946634
Turkmenistan,1900,764619
Turks and Caicos Islands,1900,5189
Tuvalu,1900,3903
Uganda,1900,2734806
Ukraine,1900,23471939
United Arab Emirates,1900,47854
United Kingdom,1900,37995759
United States,1900,77415610
Uruguay,1900,904637
USSR,1900,NA
Uzbekistan,1900,4279608
Wallis et Futuna,1900,5481
Vanuatu,1900,38544
Venezuela,1900,2695884
West Bank and Gaza,1900,288776
West Germany,1900,NA
Western Sahara,1900,7180
Vietnam,1900,14597795
Virgin Islands (U.S.),1900,30869
North Yemen (former),1900,NA
South Yemen (former),1900,NA
Yemen,1900,3183724
Yugoslavia,1900,NA
Zambia,1900,743191
Zimbabwe,1900,1911595
Åland,1900,NA
South Sudan,1900,1919153
Curaçao,1900,NA
Sint Maarten (Dutch part),1900,NA
St. Martin (French part),1900,NA
Antarctica,1900,NA
Bouvet Island,1900,NA
British Indian Ocean Territory,1900,NA
Clipperton,1900,NA
French Southern and Antarctic Lands,1900,NA
Gaza Strip,1900,NA
Heard and McDonald Islands,1900,NA
Northern Marianas,1900,NA
South Georgia and the South Sandwich Islands,1900,NA
US Minor Outlying Islands,1900,NA
Virgin Islands,1900,NA
West Bank,1900,NA
Abkhazia,1910,NA
Afghanistan,1910,5351413
Akrotiri and Dhekelia,1910,NA
Albania,1910,901122
Algeria,1910,5404045
American Samoa,1910,7047
Andorra,1910,4671
Angola,1910,3136718
Anguilla,1910,3818
Antigua and Barbuda,1910,32119
Argentina,1910,6852668
Armenia,1910,936124
Aruba,1910,30881
Australia,1910,4408209
Austria,1910,6608155
Azerbaijan,1910,1998690
Bahamas,1910,55829
Bahrain,1910,80495
Bangladesh,1910,30936532
Barbados,1910,174352
Belarus,1910,5390481
Belgium,1910,7492872
Belize,1910,39793
Benin,1910,1532133
Bermuda,1910,18910
Bhutan,1910,143766
Bolivia,1910,1993676
Bosnia and Herzegovina,1910,1866966
Botswana,1910,126674
Brazil,1910,22414074
British Virgin Islands,1910,5543
Brunei,1910,21180
Bulgaria,1910,4531387
Burkina Faso,1910,3201227
Burundi,1910,1699545
Cambodia,1910,3051759
Cameroon,1910,2432509
Canada,1910,7181200
Cape Verde,1910,124067
Cayman Islands,1910,5534
Central African Republic,1910,741742
Chad,1910,1479229
Channel Islands,1910,78818
Chile,1910,3347597
China,1910,417830774
Christmas Island,1910,NA
Cocos Island,1910,NA
Colombia,1910,5019920
Comoros,1910,113579
"Congo, Dem. Rep.",1910,9315190
"Congo, Rep.",1910,601896
Cook Is,1910,8637
Costa Rica,1910,359202
Cote d'Ivoire,1910,1991150
Croatia,1910,2710758
Cuba,1910,2268558
Cyprus,1910,270836
Czech Republic,1910,7675752
Czechoslovakia,1910,NA
Denmark,1910,2880479
Djibouti,1910,45389
Dominica,1910,33458
Dominican Republic,1910,704604
East Germany,1910,NA
Ecuador,1910,1682404
Egypt,1910,11359618
El Salvador,1910,947617
Equatorial Guinea,1910,108802
Eritrea,1910,672417
Eritrea and Ethiopia,1910,NA
Estonia,1910,762326
Ethiopia,1910,10317724
Faeroe Islands,1910,24388
Falkland Is (Malvinas),1910,657
Fiji,1910,137826
Finland,1910,2930441
France,1910,41294572
French Guiana,1910,18924
French Polynesia,1910,31912
Gabon,1910,339240
Gambia,1910,201692
Georgia,1910,2439935
Germany,1910,64064129
Ghana,1910,2007947
Gibraltar,1910,16365
Greece,1910,5241874
Greenland,1910,17501
Grenada,1910,66816
Guadeloupe,1910,156142
Guam,1910,12275
Guatemala,1910,1552284
Guernsey,1910,NA
Guinea,1910,2170846
Guinea-Bissau,1910,407622
Guyana,1910,305477
Haiti,1910,1827086
Holy See,1910,910
Honduras,1910,626739
"Hong Kong, China",1910,441726
Hungary,1910,7638063
Iceland,1910,109714
India,1910,253761202
Indonesia,1910,42771824
Iran,1910,10600670
Iraq,1910,2513104
Ireland,1910,3093322
Isle of Man,1910,42574
Israel,1910,413270
Italy,1910,36529017
Jamaica,1910,807550
Japan,1910,49314848
Jersey,1910,NA
Jordan,1910,330157
Kazakhstan,1910,4635760
Kenya,1910,2640315
Kiribati,1910,28645
North Korea,1910,5293486
South Korea,1910,10193929
United Korea (former),1910,NA
Kosovo,1910,NA
Kuwait,1910,99530
Kyrgyz Republic,1910,1205772
Lao,1910,1321934
Latvia,1910,1352379
Lebanon,1910,593100
Lesotho,1910,542372
Liberia,1910,667027
Libya,1910,904788
Liechtenstein,1910,10526
Lithuania,1910,1783115
Luxembourg,1910,228340
"Macao, China",1910,74264
"Macedonia, FYR",1910,875036
Madagascar,1910,3095828
Malawi,1910,979129
Malaysia,1910,2875649
Maldives,1910,66938
Mali,1910,3252008
Malta,1910,240859
Marshall Islands,1910,10124
Martinique,1910,164477
Mauritania,1910,555862
Mauritius,1910,369399
Mayotte,1910,12416
Mexico,1910,15115185
"Micronesia, Fed. Sts.",1910,25762
Moldova,1910,1619672
Monaco,1910,15026
Mongolia,1910,717536
Montenegro,1910,277715
Montserrat,1910,11813
Morocco,1910,5007589
Mozambique,1910,4470516
Myanmar,1910,12104689
Namibia,1910,232593
Nauru,1910,2526
Nepal,1910,5696204
Netherlands,1910,5915422
Netherlands Antilles,1910,NA
New Caledonia,1910,51063
New Zealand,1910,1044340
Ngorno-Karabakh,1910,NA
Nicaragua,1910,659199
Niger,1910,2052052
Nigeria,1910,17872899
Niue,1910,4596
Norfolk Island,1910,NA
Northern Cyprus,1910,NA
Northern Mariana Islands,1910,5572
Norway,1910,2383631
Oman,1910,436152
Pakistan,1910,19813366
Palau,1910,6083
Panama,1910,326165
Papua New Guinea,1910,1326296
Paraguay,1910,562257
Peru,1910,4174310
Philippines,1910,7771116
Pitcairn,1910,NA
Poland,1910,26493422
Portugal,1910,5895516
Puerto Rico,1910,1130424
Qatar,1910,17143
Reunion,1910,181279
Romania,1910,11878502
Russia,1910,71044207
Rwanda,1910,1688211
St. Barthélemy,1910,NA
St. Helena,1910,3471
St. Kitts and Nevis,1910,34073
St. Lucia,1910,49588
St. Martin,1910,NA
St. Vincent and the Grenadines,1910,42765
St.-Pierre-et-Miquelon,1910,3422
Samoa,1910,37850
San Marino,1910,9843
Sao Tome and Principe,1910,44803
Saudi Arabia,1910,2635671
Senegal,1910,1881695
Serbia,1910,4726618
Serbia and Montenegro,1910,NA
Serbia excluding Kosovo,1910,NA
Seychelles,1910,22522
Sierra Leone,1910,1480939
Singapore,1910,294092
Slovak Republic,1910,2959113
Slovenia,1910,1036529
Solomon Islands,1910,73224
Somalia,1910,1752623
Somaliland,1910,NA
South Africa,1910,5785887
South Ossetia,1910,NA
Spain,1910,19910849
Sri Lanka,1910,4692399
Sudan,1910,4908169
Suriname,1910,157730
Svalbard,1910,NA
Swaziland,1910,106983
Sweden,1910,5492757
Switzerland,1910,3726392
Syria,1910,1956253
Taiwan,1910,NA
Tajikistan,1910,1055995
Tanzania,1910,4110840
Thailand,1910,8488052
Timor-Leste,1910,368796
Togo,1910,978586
Tokelau,1910,482
Tonga,1910,22689
Transnistria,1910,NA
Trinidad and Tobago,1910,336841
Tunisia,1910,1844566
Turkey,1910,14746479
Turkmenistan,1910,837623
Turks and Caicos Islands,1910,5536
Tuvalu,1910,4125
Uganda,1910,2825381
Ukraine,1910,25729036
United Arab Emirates,1910,50669
United Kingdom,1910,41804912
United States,1910,93559186
Uruguay,1910,1092482
USSR,1910,NA
Uzbekistan,1910,4750852
Wallis et Futuna,1910,5752
Vanuatu,1910,40134
Venezuela,1910,3009466
West Bank and Gaza,1910,333508
West Germany,1910,NA
Western Sahara,1910,8051
Vietnam,1910,16454275
Virgin Islands (U.S.),1910,27325
North Yemen (former),1910,NA
South Yemen (former),1910,NA
Yemen,1910,3301368
Yugoslavia,1910,NA
Zambia,1910,805537
Zimbabwe,1910,2050255
Åland,1910,NA
South Sudan,1910,2092703
Curaçao,1910,NA
Sint Maarten (Dutch part),1910,NA
St. Martin (French part),1910,NA
Antarctica,1910,NA
Bouvet Island,1910,NA
British Indian Ocean Territory,1910,NA
Clipperton,1910,NA
French Southern and Antarctic Lands,1910,NA
Gaza Strip,1910,NA
Heard and McDonald Islands,1910,NA
Northern Marianas,1910,NA
South Georgia and the South Sandwich Islands,1910,NA
US Minor Outlying Islands,1910,NA
Virgin Islands,1910,NA
West Bank,1910,NA
Abkhazia,1920,NA
Afghanistan,1920,5813814
Akrotiri and Dhekelia,1920,NA
Albania,1920,963956
Algeria,1920,6063800
American Samoa,1920,8173
Andorra,1920,4974
Angola,1920,3387663
Anguilla,1920,4097
Antigua and Barbuda,1920,3e4
Argentina,1920,8884894
Armenia,1920,1025070
Aruba,1920,32539
Australia,1920,5345428
Austria,1920,6459401
Azerbaijan,1920,2189291
Bahamas,1920,53436
Bahrain,1920,87364
Bangladesh,1920,32566951
Barbados,1920,158370
Belarus,1920,5909582
Belgium,1920,7554691
Belize,1920,44561
Benin,1920,1689073
Bermuda,1920,19913
Bhutan,1920,151434
Bolivia,1920,2333955
Bosnia and Herzegovina,1920,2036931
Botswana,1920,152437
Brazil,1920,27660862
British Virgin Islands,1920,5192
Brunei,1920,25463
Bulgaria,1920,5085764
Burkina Faso,1920,3442161
Burundi,1920,1823651
Cambodia,1920,3326194
Cameroon,1920,2506103
Canada,1920,8764205
Cape Verde,1920,135600
Cayman Islands,1920,5359
Central African Republic,1920,778576
Chad,1920,1484476
Channel Islands,1920,84109
Chile,1920,3760459
China,1920,462750597
Christmas Island,1920,NA
Cocos Island,1920,NA
Colombia,1920,6394596
Comoros,1920,122773
"Congo, Dem. Rep.",1920,9945931
"Congo, Rep.",1920,646890
Cook Is,1920,9334
Costa Rica,1920,420818
Cote d'Ivoire,1920,2129255
Croatia,1920,2959916
Cuba,1920,3067116
Cyprus,1920,308148
Czech Republic,1920,7962646
Czechoslovakia,1920,NA
Denmark,1920,3242599
Djibouti,1920,48984
Dominica,1920,36735
Dominican Republic,1920,906435
East Germany,1920,NA
